|continent    |date      |cases_per_million|countries_in_continent|
|             |2020-01-25|0.0170044997     |12                    |
|Europe       |2020-01-25|0.0053518058     |51                    |
|Africa       |2020-01-25|0                |57                    |
|North America|2020-01-25|0                |41                    |
|Oceania      |2020-01-25|0                |24                    |
|South America|2020-01-25|0                |14                    |
|Asia         |2020-01-26|0.4266675631     |48                    |
|             |2020-01-26|0.2507136869     |12                    |
|Oceania      |2020-01-26|0.0888121019     |24                    |
|North America|2020-01-26|0.0133261448     |41                    |
|Europe       |2020-01-26|0.0120415631     |51                    |
|Africa       |2020-01-26|0                |57                    |
|South America|2020-01-26|0                |14                    |
|Asia         |2020-01-27|0.4266675631     |48                    |
|             |2020-01-27|0.2507136869     |12                    |
|Oceania      |2020-01-27|0.0888121019     |24                    |
|North America|2020-01-27|0.0133261448     |41                    |
|Europe       |2020-01-27|0.0120415631     |51                    |
|Africa       |2020-01-27|0                |57                    |
|South America|2020-01-27|0                |14                    |
|Asia         |2020-01-28|0.4266675631     |48                    |
|             |2020-01-28|0.2507136869     |12                    |
|Oceania      |2020-01-28|0.0888121019     |24                    |
|North America|2020-01-28|0.0133261448     |41                    |
|Europe       |2020-01-28|0.0120415631     |51                    |
|Africa       |2020-01-28|0                |57                    |
|South America|2020-01-28|0                |14                    |
|Asia         |2020-01-29|0.4266675631     |48                    |
|             |2020-01-29|0.2507136869     |12                    |
|Oceania      |2020-01-29|0.0888121019     |24                    |
|North America|2020-01-29|0.0133261448     |41                    |
|Europe       |2020-01-29|0.0120415631     |51                    |
|Africa       |2020-01-29|0                |57                    |
|South America|2020-01-29|0                |14                    |
|Asia         |2020-01-30|0.4266675631     |48                    |
|             |2020-01-30|0.2507136869     |12                    |
|Oceania      |2020-01-30|0.0888121019     |24                    |
|North America|2020-01-30|0.0133261448     |41                    |
|Europe       |2020-01-30|0.0120415631     |51                    |
|Africa       |2020-01-30|0                |57                    |
|South America|2020-01-30|0                |14                    |
|Asia         |2020-01-31|0.4259907114     |49                    |
|             |2020-01-31|0.2507136869     |12                    |
|Oceania      |2020-01-31|0.0888121019     |24                    |
|North America|2020-01-31|0.0133261448     |41                    |
|Europe       |2020-01-31|0.0120415631     |51                    |
|Africa       |2020-01-31|0                |57                    |
|South America|2020-01-31|0                |14                    |
|Asia         |2020-02-01|0.4259907114     |49                    |
|             |2020-02-01|0.2507136869     |12                    |
|Oceania      |2020-02-01|0.0888121019     |24                    |
|North America|2020-02-01|0.0133261448     |41                    |
|Europe       |2020-02-01|0.0120415631     |51                    |
|Africa       |2020-02-01|0                |57                    |
|South America|2020-02-01|0                |14                    |
|Asia         |2020-02-02|3.0747166461     |49                    |
|             |2020-02-02|1.7963980683     |12                    |
|Oceania      |2020-02-02|0.2664363058     |24                    |
|Europe       |2020-02-02|0.0401385438     |51                    |
|North America|2020-02-02|0.0216549854     |41                    |
|Africa       |2020-02-02|0                |57                    |
|South America|2020-02-02|0                |14                    |
|Asia         |2020-02-03|3.0747166461     |49                    |
|             |2020-02-03|1.7963980683     |12                    |
|Oceania      |2020-02-03|0.2664363058     |24                    |
|Europe       |2020-02-03|0.0401385438     |51                    |
|North America|2020-02-03|0.0216549854     |41                    |
|Africa       |2020-02-03|0                |57                    |
|South America|2020-02-03|0                |14                    |
|Asia         |2020-02-04|3.0747166461     |49                    |
|             |2020-02-04|1.7963980683     |12                    |
|Oceania      |2020-02-04|0.2664363058     |24                    |
|Europe       |2020-02-04|0.0401385438     |51                    |
|North America|2020-02-04|0.0216549854     |41                    |
|Africa       |2020-02-04|0                |57                    |
|South America|2020-02-04|0                |14                    |
|Asia         |2020-02-05|3.0747166461     |49                    |
|             |2020-02-05|1.7963980683     |12                    |
|Oceania      |2020-02-05|0.2664363058     |24                    |
|Europe       |2020-02-05|0.0401385438     |51                    |
|North America|2020-02-05|0.0216549854     |41                    |
|Africa       |2020-02-05|0                |57                    |
|South America|2020-02-05|0                |14                    |
|Asia         |2020-02-06|3.0747166461     |49                    |
|             |2020-02-06|1.7963980683     |12                    |
|Oceania      |2020-02-06|0.2664363058     |24                    |
|Europe       |2020-02-06|0.0401385438     |51                    |
|North America|2020-02-06|0.0216549854     |41                    |
|Africa       |2020-02-06|0                |57                    |
|South America|2020-02-06|0                |14                    |
|Asia         |2020-02-07|3.0747166461     |49                    |
|             |2020-02-07|1.7963980683     |12                    |
|Oceania      |2020-02-07|0.2664363058     |24                    |
|Europe       |2020-02-07|0.0401385438     |51                    |
|North America|2020-02-07|0.0216549854     |41                    |
|Africa       |2020-02-07|0                |57                    |
|South America|2020-02-07|0                |14                    |
|Asia         |2020-02-08|3.0747166461     |49                    |
|             |2020-02-08|1.7963980683     |12                    |
|Oceania      |2020-02-08|0.2664363058     |24                    |
|Europe       |2020-02-08|0.0401385438     |51                    |
|North America|2020-02-08|0.0216549854     |41                    |
|Africa       |2020-02-08|0                |57                    |
|South America|2020-02-08|0                |14                    |
|Asia         |2020-02-09|7.9285958903     |49                    |
|             |2020-02-09|4.6294134414     |12                    |
|Oceania      |2020-02-09|0.3330453823     |24                    |
|Europe       |2020-02-09|0.1123879226     |51                    |
|North America|2020-02-09|0.0449757388     |41                    |
|Africa       |2020-02-09|0                |57                    |
|South America|2020-02-09|0                |14                    |
|Asia         |2020-02-10|7.9285958903     |49                    |
|             |2020-02-10|4.6294134414     |12                    |
|Oceania      |2020-02-10|0.3330453823     |24                    |
|Europe       |2020-02-10|0.1123879226     |51                    |
|North America|2020-02-10|0.0449757388     |41                    |
|Africa       |2020-02-10|0                |57                    |
|South America|2020-02-10|0                |14                    |
|Asia         |2020-02-11|7.9285958903     |49                    |
|             |2020-02-11|4.6294134414     |12                    |
|Oceania      |2020-02-11|0.3330453823     |24                    |
|Europe       |2020-02-11|0.1123879226     |51                    |
|North America|2020-02-11|0.0449757388     |41                    |
|Africa       |2020-02-11|0                |57                    |
|South America|2020-02-11|0                |14                    |
|Asia         |2020-02-12|7.9285958903     |49                    |
|             |2020-02-12|4.6294134414     |12                    |
|Oceania      |2020-02-12|0.3330453823     |24                    |
|Europe       |2020-02-12|0.1123879226     |51                    |
|North America|2020-02-12|0.0449757388     |41                    |
|Africa       |2020-02-12|0                |57                    |
|South America|2020-02-12|0                |14                    |
|Asia         |2020-02-13|7.9285958903     |49                    |
|             |2020-02-13|4.6294134414     |12                    |
|Oceania      |2020-02-13|0.3330453823     |24                    |
|Europe       |2020-02-13|0.1123879226     |51                    |
|North America|2020-02-13|0.0449757388     |41                    |
|Africa       |2020-02-13|0                |57                    |
|South America|2020-02-13|0                |14                    |
|Asia         |2020-02-14|7.9285958903     |49                    |
|             |2020-02-14|4.6294134414     |12                    |
|Oceania      |2020-02-14|0.3330453823     |24                    |
|Europe       |2020-02-14|0.1123879226     |51                    |
|North America|2020-02-14|0.0449757388     |41                    |
|Africa       |2020-02-14|0                |57                    |
|South America|2020-02-14|0                |14                    |
|Asia         |2020-02-15|7.9285958903     |49                    |
|             |2020-02-15|4.6294134414     |12                    |
|Oceania      |2020-02-15|0.3330453823     |24                    |
|Europe       |2020-02-15|0.1123879226     |51                    |
|North America|2020-02-15|0.0449757388     |41                    |
|Africa       |2020-02-15|0                |57                    |
|South America|2020-02-15|0                |14                    |
|Asia         |2020-02-16|14.5849390643    |49                    |
|             |2020-02-16|8.5050018017     |12                    |
|Oceania      |2020-02-16|0.3330453823     |24                    |
|Europe       |2020-02-16|0.1404849033     |51                    |
|North America|2020-02-16|0.0516388112     |41                    |
|Africa       |2020-02-16|0.0007011833     |57                    |
|South America|2020-02-16|0                |14                    |
|Asia         |2020-02-17|14.5849390643    |49                    |
|             |2020-02-17|8.5050018017     |12                    |
|Oceania      |2020-02-17|0.3330453823     |24                    |
|Europe       |2020-02-17|0.1404849033     |51                    |
|North America|2020-02-17|0.0516388112     |41                    |
|Africa       |2020-02-17|0.0007011833     |57                    |
|South America|2020-02-17|0                |14                    |
|Asia         |2020-02-18|14.5849390643    |49                    |
|             |2020-02-18|8.5050018017     |12                    |
|Oceania      |2020-02-18|0.3330453823     |24                    |
|Europe       |2020-02-18|0.1404849033     |51                    |
|North America|2020-02-18|0.0516388112     |41                    |
|Africa       |2020-02-18|0.0007011833     |57                    |
|South America|2020-02-18|0                |14                    |
|Asia         |2020-02-19|14.5849390643    |49                    |
|             |2020-02-19|8.5050018017     |12                    |
|Oceania      |2020-02-19|0.3330453823     |24                    |
|Europe       |2020-02-19|0.1404849033     |51                    |
|North America|2020-02-19|0.0516388112     |41                    |
|Africa       |2020-02-19|0.0007011833     |57                    |
|South America|2020-02-19|0                |14                    |
|Asia         |2020-02-20|14.5849390643    |49                    |
|             |2020-02-20|8.5050018017     |12                    |
|Oceania      |2020-02-20|0.3330453823     |24                    |
|Europe       |2020-02-20|0.1404849033     |51                    |
|North America|2020-02-20|0.0516388112     |41                    |
|Africa       |2020-02-20|0.0007011833     |57                    |
|South America|2020-02-20|0                |14                    |
|Asia         |2020-02-21|14.5849390643    |49                    |
|             |2020-02-21|8.5050018017     |12                    |
|Oceania      |2020-02-21|0.3330453823     |24                    |
|Europe       |2020-02-21|0.1404849033     |51                    |
|North America|2020-02-21|0.0516388112     |41                    |
|Africa       |2020-02-21|0.0007011833     |57                    |
