|continent    |date      |cases_per_million|countries_in_continent|
|Europe       |2021-02-28|41,589.0028372319|55                    |
|South America|2021-02-28|41,065.7167236968|14                    |
|             |2021-02-28|11,061.267771617 |12                    |
|Asia         |2021-02-28|5,256.2727869753 |51                    |
|Africa       |2021-02-28|2,751.1768136347 |57                    |
|Oceania      |2021-02-28|1,299.2322393614 |24                    |
|North America|2021-03-01|54,613.694825623 |41                    |
|Europe       |2021-03-01|41,589.0028372319|55                    |
|South America|2021-03-01|41,065.7167236968|14                    |
|             |2021-03-01|11,061.267771617 |12                    |
|Asia         |2021-03-01|5,256.2727869753 |51                    |
|Africa       |2021-03-01|2,751.1768136347 |57                    |
|Oceania      |2021-03-01|1,299.2322393614 |24                    |
|North America|2021-03-02|54,613.694825623 |41                    |
|Europe       |2021-03-02|41,589.0028372319|55                    |
|South America|2021-03-02|41,065.7167236968|14                    |
|             |2021-03-02|11,061.267771617 |12                    |
|Asia         |2021-03-02|5,256.2727869753 |51                    |
|Africa       |2021-03-02|2,751.1768136347 |57                    |
|Oceania      |2021-03-02|1,299.2322393614 |24                    |
|North America|2021-03-03|54,613.694825623 |41                    |
|Europe       |2021-03-03|41,589.0028372319|55                    |
|South America|2021-03-03|41,065.7167236968|14                    |
|             |2021-03-03|11,061.267771617 |12                    |
|Asia         |2021-03-03|5,256.2727869753 |51                    |
|Africa       |2021-03-03|2,751.1768136347 |57                    |
|Oceania      |2021-03-03|1,299.2322393614 |24                    |
|North America|2021-03-04|54,613.694825623 |41                    |
|Europe       |2021-03-04|41,589.0028372319|55                    |
|South America|2021-03-04|41,065.7167236968|14                    |
|             |2021-03-04|11,061.267771617 |12                    |
|Asia         |2021-03-04|5,256.2727869753 |51                    |
|Africa       |2021-03-04|2,751.1768136347 |57                    |
|Oceania      |2021-03-04|1,299.2322393614 |24                    |
|North America|2021-03-05|54,613.694825623 |41                    |
|Europe       |2021-03-05|41,589.0028372319|55                    |
|South America|2021-03-05|41,065.7167236968|14                    |
|             |2021-03-05|11,061.267771617 |12                    |
|Asia         |2021-03-05|5,256.2727869753 |51                    |
|Africa       |2021-03-05|2,751.1768136347 |57                    |
|Oceania      |2021-03-05|1,299.2322393614 |24                    |
|North America|2021-03-06|54,613.694825623 |41                    |
|Europe       |2021-03-06|41,589.0028372319|55                    |
|South America|2021-03-06|41,065.7167236968|14                    |
|             |2021-03-06|11,061.267771617 |12                    |
|Asia         |2021-03-06|5,256.2727869753 |51                    |
|Africa       |2021-03-06|2,751.1768136347 |57                    |
|Oceania      |2021-03-06|1,299.2322393614 |24                    |
|North America|2021-03-07|55,466.2549305466|41                    |
|Europe       |2021-03-07|42,857.1430149871|55                    |
|South America|2021-03-07|42,406.8903284712|14                    |
|             |2021-03-07|11,335.8704323452|12                    |
|Asia         |2021-03-07|5,369.6644116803 |51                    |
|Africa       |2021-03-07|2,800.8437302169 |57                    |
|Oceania      |2021-03-07|1,311.4661064044 |24                    |
|North America|2021-03-08|55,466.2549305466|41                    |
|Europe       |2021-03-08|42,857.1430149871|55                    |
|South America|2021-03-08|42,406.8903284712|14                    |
|             |2021-03-08|11,335.8704323452|12                    |
|Asia         |2021-03-08|5,369.6644116803 |51                    |
|Africa       |2021-03-08|2,800.8437302169 |57                    |
|Oceania      |2021-03-08|1,311.4661064044 |24                    |
|North America|2021-03-09|55,466.2549305466|41                    |
|Europe       |2021-03-09|42,857.1430149871|55                    |
|South America|2021-03-09|42,406.8903284712|14                    |
|             |2021-03-09|11,335.8704323452|12                    |
|Asia         |2021-03-09|5,369.6644116803 |51                    |
|Africa       |2021-03-09|2,800.8437302169 |57                    |
|Oceania      |2021-03-09|1,311.4661064044 |24                    |
|North America|2021-03-10|55,466.2549305466|41                    |
|Europe       |2021-03-10|42,857.1430149871|55                    |
|South America|2021-03-10|42,406.8903284712|14                    |
|             |2021-03-10|11,335.8704323452|12                    |
|Asia         |2021-03-10|5,369.6644116803 |51                    |
|Africa       |2021-03-10|2,800.8437302169 |57                    |
|Oceania      |2021-03-10|1,311.4661064044 |24                    |
|North America|2021-03-11|55,466.2549305466|41                    |
|Europe       |2021-03-11|42,857.1430149871|55                    |
|South America|2021-03-11|42,406.8903284712|14                    |
|             |2021-03-11|11,335.8704323452|12                    |
|Asia         |2021-03-11|5,369.6644116803 |51                    |
|Africa       |2021-03-11|2,800.8437302169 |57                    |
|Oceania      |2021-03-11|1,311.4661064044 |24                    |
|North America|2021-03-12|55,466.2549305466|41                    |
|Europe       |2021-03-12|42,857.1430149871|55                    |
|South America|2021-03-12|42,406.8903284712|14                    |
|             |2021-03-12|11,335.8704323452|12                    |
|Asia         |2021-03-12|5,369.6644116803 |51                    |
|Africa       |2021-03-12|2,800.8437302169 |57                    |
|Oceania      |2021-03-12|1,311.4661064044 |24                    |
|North America|2021-03-13|55,466.2549305466|41                    |
|Europe       |2021-03-13|42,857.1430149871|55                    |
|South America|2021-03-13|42,406.8903284712|14                    |
|             |2021-03-13|11,335.8704323452|12                    |
|Asia         |2021-03-13|5,369.6644116803 |51                    |
|Africa       |2021-03-13|2,800.8437302169 |57                    |
|Oceania      |2021-03-13|1,311.4661064044 |24                    |
|North America|2021-03-14|56,252.4191846066|41                    |
|Europe       |2021-03-14|44,250.9678702927|55                    |
|South America|2021-03-14|43,973.3208996811|14                    |
|             |2021-03-14|11,634.2320090054|12                    |
|Asia         |2021-03-14|5,497.5062599378 |51                    |
|Africa       |2021-03-14|2,847.7514905195 |57                    |
|Oceania      |2021-03-14|1,333.5359137379 |24                    |
|North America|2021-03-15|56,252.4191846066|41                    |
|Europe       |2021-03-15|44,250.9678702927|55                    |
|South America|2021-03-15|43,973.3208996811|14                    |
|             |2021-03-15|11,634.2320090054|12                    |
|Asia         |2021-03-15|5,497.5062599378 |51                    |
|Africa       |2021-03-15|2,847.7514905195 |57                    |
|Oceania      |2021-03-15|1,333.5359137379 |24                    |
|North America|2021-03-16|56,252.4191846066|41                    |
|Europe       |2021-03-16|44,250.9678702927|55                    |
|South America|2021-03-16|43,973.3208996811|14                    |
|             |2021-03-16|11,634.2320090054|12                    |
|Asia         |2021-03-16|5,497.5062599378 |51                    |
|Africa       |2021-03-16|2,847.7514905195 |57                    |
|Oceania      |2021-03-16|1,333.5359137379 |24                    |
|North America|2021-03-17|56,252.4191846066|41                    |
|Europe       |2021-03-17|44,250.9678702927|55                    |
|South America|2021-03-17|43,973.3208996811|14                    |
|             |2021-03-17|11,634.2320090054|12                    |
|Asia         |2021-03-17|5,497.5062599378 |51                    |
|Africa       |2021-03-17|2,847.7514905195 |57                    |
|Oceania      |2021-03-17|1,333.5359137379 |24                    |
|North America|2021-03-18|56,252.4191846066|41                    |
|Europe       |2021-03-18|44,250.9678702927|55                    |
|South America|2021-03-18|43,973.3208996811|14                    |
|             |2021-03-18|11,634.2320090054|12                    |
|Asia         |2021-03-18|5,497.5062599378 |51                    |
|Africa       |2021-03-18|2,847.7514905195 |57                    |
|Oceania      |2021-03-18|1,333.5359137379 |24                    |
|North America|2021-03-19|56,252.4191846066|41                    |
|Europe       |2021-03-19|44,250.9678702927|55                    |
|South America|2021-03-19|43,973.3208996811|14                    |
|             |2021-03-19|11,634.2320090054|12                    |
|Asia         |2021-03-19|5,497.5062599378 |51                    |
|Africa       |2021-03-19|2,847.7514905195 |57                    |
|Oceania      |2021-03-19|1,333.5359137379 |24                    |
|North America|2021-03-20|56,252.4191846066|41                    |
|Europe       |2021-03-20|44,250.9678702927|55                    |
|South America|2021-03-20|43,973.3208996811|14                    |
|             |2021-03-20|11,634.2320090054|12                    |
|Asia         |2021-03-20|5,497.5062599378 |51                    |
|Africa       |2021-03-20|2,847.7514905195 |57                    |
|Oceania      |2021-03-20|1,333.5359137379 |24                    |
|North America|2021-03-21|57,027.4011373835|41                    |
|Europe       |2021-03-21|45,838.043843659 |55                    |
|South America|2021-03-21|45,623.7455163657|14                    |
|             |2021-03-21|11,969.9199193817|12                    |
|Asia         |2021-03-21|5,659.7929136856 |51                    |
|Africa       |2021-03-21|2,904.724737072  |57                    |
|Oceania      |2021-03-21|1,369.9266725101 |24                    |
|North America|2021-03-22|57,027.4011373835|41                    |
|Europe       |2021-03-22|45,838.043843659 |55                    |
|South America|2021-03-22|45,623.7455163657|14                    |
|             |2021-03-22|11,969.9199193817|12                    |
|Asia         |2021-03-22|5,659.7929136856 |51                    |
|Africa       |2021-03-22|2,904.724737072  |57                    |
|Oceania      |2021-03-22|1,369.9266725101 |24                    |
|North America|2021-03-23|57,027.4011373835|41                    |
|Europe       |2021-03-23|45,838.043843659 |55                    |
|South America|2021-03-23|45,623.7455163657|14                    |
|             |2021-03-23|11,969.9199193817|12                    |
|Asia         |2021-03-23|5,659.7929136856 |51                    |
|Africa       |2021-03-23|2,904.724737072  |57                    |
|Oceania      |2021-03-23|1,369.9266725101 |24                    |
|North America|2021-03-24|57,027.4011373835|41                    |
|Europe       |2021-03-24|45,838.043843659 |55                    |
|South America|2021-03-24|45,623.7455163657|14                    |
|             |2021-03-24|11,969.9199193817|12                    |
|Asia         |2021-03-24|5,659.7929136856 |51                    |
|Africa       |2021-03-24|2,904.724737072  |57                    |
|Oceania      |2021-03-24|1,369.9266725101 |24                    |
|North America|2021-03-25|57,027.4011373835|41                    |
|Europe       |2021-03-25|45,838.043843659 |55                    |
|South America|2021-03-25|45,623.7455163657|14                    |
|             |2021-03-25|11,969.9199193817|12                    |
|Asia         |2021-03-25|5,659.7929136856 |51                    |
|Africa       |2021-03-25|2,904.724737072  |57                    |
|Oceania      |2021-03-25|1,369.9266725101 |24                    |
|North America|2021-03-26|57,027.4011373835|41                    |
|Europe       |2021-03-26|45,838.043843659 |55                    |
|South America|2021-03-26|45,623.7455163657|14                    |
|             |2021-03-26|11,969.9199193817|12                    |
|Asia         |2021-03-26|5,659.7929136856 |51                    |
|Africa       |2021-03-26|2,904.724737072  |57                    |
|Oceania      |2021-03-26|1,369.9266725101 |24                    |
|North America|2021-03-27|57,027.4011373835|41                    |
|Europe       |2021-03-27|45,838.043843659 |55                    |
|South America|2021-03-27|45,623.7455163657|14                    |
|             |2021-03-27|11,969.9199193817|12                    |
|Asia         |2021-03-27|5,659.7929136856 |51                    |
|Africa       |2021-03-27|2,904.724737072  |57                    |
|Oceania      |2021-03-27|1,369.9266725101 |24                    |
|North America|2021-03-28|57,878.9984283428|41                    |
|Europe       |2021-03-28|47,608.937463742 |55                    |
|South America|2021-03-28|47,465.0946192464|14                    |
|             |2021-03-28|12,355.6039788436|12                    |
|Asia         |2021-03-28|5,870.3233402652 |51                    |
|Africa       |2021-03-28|2,959.488555051  |57                    |
|Oceania      |2021-03-28|1,414.1995053299 |24                    |
|North America|2021-03-29|57,878.9984283428|41                    |
|Europe       |2021-03-29|47,608.937463742 |55                    |
|South America|2021-03-29|47,465.0946192464|14                    |
|             |2021-03-29|12,355.6039788436|12                    |
|Asia         |2021-03-29|5,870.3233402652 |51                    |
|Africa       |2021-03-29|2,959.488555051  |57                    |
|Oceania      |2021-03-29|1,414.1995053299 |24                    |
|North America|2021-03-30|57,878.9984283428|41                    |
|Europe       |2021-03-30|47,608.937463742 |55                    |
|South America|2021-03-30|47,465.0946192464|14                    |
|             |2021-03-30|12,355.6039788436|12                    |
|Asia         |2021-03-30|5,870.3233402652 |51                    |
|Africa       |2021-03-30|2,959.488555051  |57                    |
|Oceania      |2021-03-30|1,414.1995053299 |24                    |
|North America|2021-03-31|57,878.9984283428|41                    |
|Europe       |2021-03-31|47,608.937463742 |55                    |
|South America|2021-03-31|47,465.0946192464|14                    |
|             |2021-03-31|12,355.6039788436|12                    |
|Asia         |2021-03-31|5,870.3233402652 |51                    |
|Africa       |2021-03-31|2,959.488555051  |57                    |
|Oceania      |2021-03-31|1,414.1995053299 |24                    |
|North America|2021-04-01|57,878.9984283428|41                    |
|Europe       |2021-04-01|47,608.937463742 |55                    |
|South America|2021-04-01|47,465.0946192464|14                    |
|             |2021-04-01|12,355.6039788436|12                    |
|Asia         |2021-04-01|5,870.3233402652 |51                    |
|Africa       |2021-04-01|2,959.488555051  |57                    |
|Oceania      |2021-04-01|1,414.1995053299 |24                    |
|North America|2021-04-02|57,878.9984283428|41                    |
|Europe       |2021-04-02|47,608.937463742 |55                    |
|South America|2021-04-02|47,465.0946192464|14                    |
|             |2021-04-02|12,355.6039788436|12                    |
|Asia         |2021-04-02|5,870.3233402652 |51                    |
|Africa       |2021-04-02|2,959.488555051  |57                    |
|Oceania      |2021-04-02|1,414.1995053299 |24                    |
|North America|2021-04-03|57,878.9984283428|41                    |
|Europe       |2021-04-03|47,608.937463742 |55                    |
|South America|2021-04-03|47,465.0946192464|14                    |
|             |2021-04-03|12,355.6039788436|12                    |
|Asia         |2021-04-03|5,870.3233402652 |51                    |
|Africa       |2021-04-03|2,959.488555051  |57                    |
|Oceania      |2021-04-03|1,414.1995053299 |24                    |
|North America|2021-04-04|58,781.3433445952|41                    |
|South America|2021-04-04|49,348.0927728037|14                    |
|Europe       |2021-04-04|49,305.204271933 |55                    |
|             |2021-04-04|12,765.8174141258|12                    |
|Asia         |2021-04-04|6,142.4478685558 |51                    |
|Africa       |2021-04-04|3,016.1357513696 |57                    |
|Oceania      |2021-04-04|1,455.9855992953 |24                    |
|North America|2021-04-05|58,781.3433445952|41                    |
|South America|2021-04-05|49,348.0927728037|14                    |
|Europe       |2021-04-05|49,305.204271933 |55                    |
|             |2021-04-05|12,765.8174141258|12                    |
|Asia         |2021-04-05|6,142.4478685558 |51                    |
|Africa       |2021-04-05|3,016.1357513696 |57                    |
|Oceania      |2021-04-05|1,455.9855992953 |24                    |
|North America|2021-04-06|58,781.3433445952|41                    |
|South America|2021-04-06|49,348.0927728037|14                    |
|Europe       |2021-04-06|49,305.204271933 |55                    |
|             |2021-04-06|12,765.8174141258|12                    |
|Asia         |2021-04-06|6,142.4478685558 |51                    |
|Africa       |2021-04-06|3,016.1357513696 |57                    |
|Oceania      |2021-04-06|1,455.9855992953 |24                    |
|North America|2021-04-07|58,781.3433445952|41                    |
|South America|2021-04-07|49,348.0927728037|14                    |
|Europe       |2021-04-07|49,305.204271933 |55                    |
|             |2021-04-07|12,765.8174141258|12                    |
|Asia         |2021-04-07|6,142.4478685558 |51                    |
|Africa       |2021-04-07|3,016.1357513696 |57                    |
|Oceania      |2021-04-07|1,455.9855992953 |24                    |
|North America|2021-04-08|58,781.3433445952|41                    |
|South America|2021-04-08|49,348.0927728037|14                    |
|Europe       |2021-04-08|49,305.204271933 |55                    |
|             |2021-04-08|12,765.8174141258|12                    |
|Asia         |2021-04-08|6,142.4478685558 |51                    |
|Africa       |2021-04-08|3,016.1357513696 |57                    |
|Oceania      |2021-04-08|1,455.9855992953 |24                    |
|North America|2021-04-09|58,781.3433445952|41                    |
|South America|2021-04-09|49,348.0927728037|14                    |
|Europe       |2021-04-09|49,305.204271933 |55                    |
|             |2021-04-09|12,765.8174141258|12                    |
|Asia         |2021-04-09|6,142.4478685558 |51                    |
|Africa       |2021-04-09|3,016.1357513696 |57                    |
|Oceania      |2021-04-09|1,455.9855992953 |24                    |
|North America|2021-04-10|58,781.3433445952|41                    |
|South America|2021-04-10|49,348.0927728037|14                    |
|Europe       |2021-04-10|49,305.204271933 |55                    |
|             |2021-04-10|12,765.8174141258|12                    |
|Asia         |2021-04-10|6,142.4478685558 |51                    |
|Africa       |2021-04-10|3,016.1357513696 |57                    |
|Oceania      |2021-04-10|1,455.9855992953 |24                    |
|North America|2021-04-11|59,742.5365164312|41                    |
|South America|2021-04-11|51,343.6003665052|14                    |
|Europe       |2021-04-11|50,801.5880500124|55                    |
|             |2021-04-11|13,212.4541749378|12                    |
|Asia         |2021-04-11|6,525.3564560465 |51                    |
|Africa       |2021-04-11|3,073.0718352073 |57                    |
|Oceania      |2021-04-11|1,494.9741120494 |24                    |
|North America|2021-04-12|59,742.5365164312|41                    |
|South America|2021-04-12|51,343.6003665052|14                    |
|Europe       |2021-04-12|50,801.5880500124|55                    |
|             |2021-04-12|13,212.4541749378|12                    |
|Asia         |2021-04-12|6,525.3564560465 |51                    |
|Africa       |2021-04-12|3,073.0718352073 |57                    |
|Oceania      |2021-04-12|1,494.9741120494 |24                    |
|North America|2021-04-13|59,742.5365164312|41                    |
|South America|2021-04-13|51,343.6003665052|14                    |
|Europe       |2021-04-13|50,801.5880500124|55                    |
|             |2021-04-13|13,212.4541749378|12                    |
|Asia         |2021-04-13|6,525.3564560465 |51                    |
|Africa       |2021-04-13|3,073.0718352073 |57                    |
|Oceania      |2021-04-13|1,494.9741120494 |24                    |
|North America|2021-04-14|59,742.5365164312|41                    |
|South America|2021-04-14|51,343.6003665052|14                    |
|Europe       |2021-04-14|50,801.5880500124|55                    |
|             |2021-04-14|13,212.4541749378|12                    |
|Asia         |2021-04-14|6,525.3564560465 |51                    |
|Africa       |2021-04-14|3,073.0718352073 |57                    |
|Oceania      |2021-04-14|1,494.9741120494 |24                    |
|North America|2021-04-15|59,742.5365164312|41                    |
|South America|2021-04-15|51,343.6003665052|14                    |
|Europe       |2021-04-15|50,801.5880500124|55                    |
|             |2021-04-15|13,212.4541749378|12                    |
|Asia         |2021-04-15|6,525.3564560465 |51                    |
|Africa       |2021-04-15|3,073.0718352073 |57                    |
|Oceania      |2021-04-15|1,494.9741120494 |24                    |
|North America|2021-04-16|59,742.5365164312|41                    |
|South America|2021-04-16|51,343.6003665052|14                    |
|Europe       |2021-04-16|50,801.5880500124|55                    |
|             |2021-04-16|13,212.4541749378|12                    |
|Asia         |2021-04-16|6,525.3564560465 |51                    |
|Africa       |2021-04-16|3,073.0718352073 |57                    |
|Oceania      |2021-04-16|1,494.9741120494 |24                    |
|North America|2021-04-17|59,742.5365164312|41                    |
|South America|2021-04-17|51,343.6003665052|14                    |
|Europe       |2021-04-17|50,801.5880500124|55                    |
|             |2021-04-17|13,212.4541749378|12                    |
|Asia         |2021-04-17|6,525.3564560465 |51                    |
|Africa       |2021-04-17|3,073.0718352073 |57                    |
|Oceania      |2021-04-17|1,494.9741120494 |24                    |
|North America|2021-04-18|60,742.7769583966|41                    |
|South America|2021-04-18|53,436.5859230389|14                    |
|Europe       |2021-04-18|52,233.9312764026|55                    |
|             |2021-04-18|13,720.0895098058|12                    |
|Asia         |2021-04-18|7,047.4350659046 |51                    |
|Africa       |2021-04-18|3,132.0546730933 |57                    |
|Oceania      |2021-04-18|1,526.4135961381 |24                    |
|North America|2021-04-19|60,742.7769583966|41                    |
|South America|2021-04-19|53,436.5859230389|14                    |
|Europe       |2021-04-19|52,233.9312764026|55                    |
|             |2021-04-19|13,720.0895098058|12                    |
|Asia         |2021-04-19|7,047.4350659046 |51                    |
|Africa       |2021-04-19|3,132.0546730933 |57                    |
|Oceania      |2021-04-19|1,526.4135961381 |24                    |
|North America|2021-04-20|60,742.7769583966|41                    |
|South America|2021-04-20|53,436.5859230389|14                    |
|Europe       |2021-04-20|52,233.9312764026|55                    |
|             |2021-04-20|13,720.0895098058|12                    |
|Asia         |2021-04-20|7,047.4350659046 |51                    |
|Africa       |2021-04-20|3,132.0546730933 |57                    |
|Oceania      |2021-04-20|1,526.4135961381 |24                    |
|North America|2021-04-21|60,742.7769583966|41                    |
|South America|2021-04-21|53,436.5859230389|14                    |
|Europe       |2021-04-21|52,233.9312764026|55                    |
|             |2021-04-21|13,720.0895098058|12                    |
|Asia         |2021-04-21|7,047.4350659046 |51                    |
|Africa       |2021-04-21|3,132.0546730933 |57                    |
|Oceania      |2021-04-21|1,526.4135961381 |24                    |
|North America|2021-04-22|60,742.7769583966|41                    |
|South America|2021-04-22|53,436.5859230389|14                    |
|Europe       |2021-04-22|52,233.9312764026|55                    |
|             |2021-04-22|13,720.0895098058|12                    |
|Asia         |2021-04-22|7,047.4350659046 |51                    |
|Africa       |2021-04-22|3,132.0546730933 |57                    |
|Oceania      |2021-04-22|1,526.4135961381 |24                    |
|North America|2021-04-23|60,742.7769583966|41                    |
|South America|2021-04-23|53,436.5859230389|14                    |
|Europe       |2021-04-23|52,233.9312764026|55                    |
|             |2021-04-23|13,720.0895098058|12                    |
|Asia         |2021-04-23|7,047.4350659046 |51                    |
|Africa       |2021-04-23|3,132.0546730933 |57                    |
|Oceania      |2021-04-23|1,526.4135961381 |24                    |
|North America|2021-04-24|60,742.7769583966|41                    |
|South America|2021-04-24|53,436.5859230389|14                    |
|Europe       |2021-04-24|52,233.9312764026|55                    |
|             |2021-04-24|13,720.0895098058|12                    |
|Asia         |2021-04-24|7,047.4350659046 |51                    |
|Africa       |2021-04-24|3,132.0546730933 |57                    |
|Oceania      |2021-04-24|1,526.4135961381 |24                    |
|North America|2021-04-25|61,631.7374279321|41                    |
|South America|2021-04-25|55,413.960051649 |14                    |
|Europe       |2021-04-25|53,507.9458893972|55                    |
|             |2021-04-25|14,266.9784734011|12                    |
|Asia         |2021-04-25|7,720.1001602242 |51                    |
|Africa       |2021-04-25|3,189.8511088382 |57                    |
|Oceania      |2021-04-25|1,554.9666869136 |24                    |
|North America|2021-04-26|61,631.7374279321|41                    |
|South America|2021-04-26|55,413.960051649 |14                    |
|Europe       |2021-04-26|53,507.9458893972|55                    |
|             |2021-04-26|14,266.9784734011|12                    |
|Asia         |2021-04-26|7,720.1001602242 |51                    |
|Africa       |2021-04-26|3,189.8511088382 |57                    |
|Oceania      |2021-04-26|1,554.9666869136 |24                    |
|North America|2021-04-27|61,631.7374279321|41                    |
|South America|2021-04-27|55,413.960051649 |14                    |
|Europe       |2021-04-27|53,507.9458893972|55                    |
|             |2021-04-27|14,266.9784734011|12                    |
|Asia         |2021-04-27|7,720.1001602242 |51                    |
|Africa       |2021-04-27|3,189.8511088382 |57                    |
|Oceania      |2021-04-27|1,554.9666869136 |24                    |
|North America|2021-04-28|61,631.7374279321|41                    |
|South America|2021-04-28|55,413.960051649 |14                    |
|Europe       |2021-04-28|53,507.9458893972|55                    |
|             |2021-04-28|14,266.9784734011|12                    |
|Asia         |2021-04-28|7,720.1001602242 |51                    |
|Africa       |2021-04-28|3,189.8511088382 |57                    |
|Oceania      |2021-04-28|1,554.9666869136 |24                    |
|North America|2021-04-29|61,631.7374279321|41                    |
|South America|2021-04-29|55,413.960051649 |14                    |
|Europe       |2021-04-29|53,507.9458893972|55                    |
|             |2021-04-29|14,266.9784734011|12                    |
|Asia         |2021-04-29|7,720.1001602242 |51                    |
|Africa       |2021-04-29|3,189.8511088382 |57                    |
|Oceania      |2021-04-29|1,554.9666869136 |24                    |
|North America|2021-04-30|61,631.7374279321|41                    |
|South America|2021-04-30|55,413.960051649 |14                    |
|Europe       |2021-04-30|53,507.9458893972|55                    |
|             |2021-04-30|14,266.9784734011|12                    |
|Asia         |2021-04-30|7,720.1001602242 |51                    |
|Africa       |2021-04-30|3,189.8511088382 |57                    |
|Oceania      |2021-04-30|1,554.9666869136 |24                    |
|North America|2021-05-01|61,631.7374279321|41                    |
|South America|2021-05-01|55,413.960051649 |14                    |
|Europe       |2021-05-01|53,507.9458893972|55                    |
|             |2021-05-01|14,266.9784734011|12                    |
|Asia         |2021-05-01|7,720.1001602242 |51                    |
|Africa       |2021-05-01|3,189.8511088382 |57                    |
|Oceania      |2021-05-01|1,554.9666869136 |24                    |
|North America|2021-05-02|62,401.4338985145|41                    |
|South America|2021-05-02|57,348.4008379634|14                    |
|Europe       |2021-05-02|54,575.5621895601|55                    |
|             |2021-05-02|14,809.6749098963|12                    |
|Asia         |2021-05-02|8,450.1742517293 |51                    |
|Africa       |2021-05-02|3,237.7692742739 |57                    |
|Oceania      |2021-05-02|1,571.507940901  |24                    |
|North America|2021-05-03|62,401.4338985145|41                    |
|South America|2021-05-03|57,348.4008379634|14                    |
|Europe       |2021-05-03|54,575.5621895601|55                    |
|             |2021-05-03|14,809.6749098963|12                    |
|Asia         |2021-05-03|8,450.1742517293 |51                    |
|Africa       |2021-05-03|3,237.7692742739 |57                    |
|Oceania      |2021-05-03|1,571.507940901  |24                    |
|North America|2021-05-04|62,401.4338985145|41                    |
|South America|2021-05-04|57,348.4008379634|14                    |
|Europe       |2021-05-04|54,575.5621895601|55                    |
|             |2021-05-04|14,809.6749098963|12                    |
|Asia         |2021-05-04|8,450.1742517293 |51                    |
|Africa       |2021-05-04|3,237.7692742739 |57                    |
|Oceania      |2021-05-04|1,571.507940901  |24                    |
|North America|2021-05-05|62,401.4338985145|41                    |
|South America|2021-05-05|57,348.4008379634|14                    |
|Europe       |2021-05-05|54,575.5621895601|55                    |
|             |2021-05-05|14,809.6749098963|12                    |
|Asia         |2021-05-05|8,450.1742517293 |51                    |
|Africa       |2021-05-05|3,237.7692742739 |57                    |
|Oceania      |2021-05-05|1,571.507940901  |24                    |
|North America|2021-05-06|62,401.4338985145|41                    |
|South America|2021-05-06|57,348.4008379634|14                    |
|Europe       |2021-05-06|54,575.5621895601|55                    |
|             |2021-05-06|14,809.6749098963|12                    |
|Asia         |2021-05-06|8,450.1742517293 |51                    |
|Africa       |2021-05-06|3,237.7692742739 |57                    |
|Oceania      |2021-05-06|1,571.507940901  |24                    |
|North America|2021-05-07|62,401.4338985145|41                    |
|South America|2021-05-07|57,348.4008379634|14                    |
|Europe       |2021-05-07|54,575.5621895601|55                    |
|             |2021-05-07|14,809.6749098963|12                    |
|Asia         |2021-05-07|8,450.1742517293 |51                    |
|Africa       |2021-05-07|3,237.7692742739 |57                    |
|Oceania      |2021-05-07|1,571.507940901  |24                    |
|North America|2021-05-08|62,401.4338985145|41                    |
|South America|2021-05-08|57,348.4008379634|14                    |
|Europe       |2021-05-08|54,575.5621895601|55                    |
|             |2021-05-08|14,809.6749098963|12                    |
|Asia         |2021-05-08|8,450.1742517293 |51                    |
|Africa       |2021-05-08|3,237.7692742739 |57                    |
|Oceania      |2021-05-08|1,571.507940901  |24                    |
|North America|2021-05-09|63,084.9268697069|41                    |
|South America|2021-05-09|59,229.5080380848|14                    |
|Europe       |2021-05-09|55,436.3529452375|55                    |
|             |2021-05-09|15,327.2348443922|12                    |
|Asia         |2021-05-09|9,185.0053083013 |51                    |
|Africa       |2021-05-09|3,279.2954527606 |57                    |
|Oceania      |2021-05-09|1,603.5469066778 |24                    |
|North America|2021-05-10|63,084.9268697069|41                    |
|South America|2021-05-10|59,229.5080380848|14                    |
|Europe       |2021-05-10|55,436.3529452375|55                    |
|             |2021-05-10|15,327.2348443922|12                    |
|Asia         |2021-05-10|9,185.0053083013 |51                    |
|Africa       |2021-05-10|3,279.2954527606 |57                    |
|Oceania      |2021-05-10|1,603.5469066778 |24                    |
|North America|2021-05-11|63,084.9268697069|41                    |
|South America|2021-05-11|59,229.5080380848|14                    |
|Europe       |2021-05-11|55,436.3529452375|55                    |
|             |2021-05-11|15,327.2348443922|12                    |
|Asia         |2021-05-11|9,185.0053083013 |51                    |
|Africa       |2021-05-11|3,279.2954527606 |57                    |
|Oceania      |2021-05-11|1,603.5469066778 |24                    |
|North America|2021-05-12|63,084.9268697069|41                    |
|South America|2021-05-12|59,229.5080380848|14                    |
|Europe       |2021-05-12|55,436.3529452375|55                    |
|             |2021-05-12|15,327.2348443922|12                    |
|Asia         |2021-05-12|9,185.0053083013 |51                    |
|Africa       |2021-05-12|3,279.2954527606 |57                    |
|Oceania      |2021-05-12|1,603.5469066778 |24                    |
|North America|2021-05-13|63,084.9268697069|41                    |
|South America|2021-05-13|59,229.5080380848|14                    |
|Europe       |2021-05-13|55,436.3529452375|55                    |
|             |2021-05-13|15,327.2348443922|12                    |
|Asia         |2021-05-13|9,185.0053083013 |51                    |
|Africa       |2021-05-13|3,279.2954527606 |57                    |
|Oceania      |2021-05-13|1,603.5469066778 |24                    |
|North America|2021-05-14|63,084.9268697069|41                    |
|South America|2021-05-14|59,229.5080380848|14                    |
